name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,lat,lon
Eemscentrale (EC4),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,359,Natural gas,,,,53.43949,6.86165
Eemscentrale (EC5),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,361,Natural gas,,,,53.43949,6.86165
Eemscentrale (EC6),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,359,Natural gas,,,,53.43949,6.86165
Eemscentrale (EC7),ELECTRABEL NEDERLAND NV,Robbenplaatweg 17,9979XL,Eemshaven,NL,360,Natural gas,,,,53.43949,6.86165
HM12,ESSENT ENERGY TRADING B.V.,Achterdijk 42,5705CB,Helmond,NL,0,Natural gas,,,,51.46341,5.68837
HTB,ESSENT ENERGY TRADING B.V.,Zandzuigerstraat 8A,5222AH,'s Hertogenbosch,NL,32,Natural gas,,,,51.70164,5.28009
KLAZI,ESSENT ENERGY TRADING B.V.,Zwet 20,7891XJ,Klazienaveen,NL,63,Natural gas,,,,52.73792,7.01368
LD12,EON BENELUX,Langegracht 70,2312NV,Leiden,NL,83,Natural gas,,,,52.16385,4.49419
LWE5,NUON,Atoomweg 7-9,3542AA,Utrecht,NL,0,Natural gas,,,,52.10292,5.07137
MK11,NUON,Keulsekade 181,3534AC,Utrecht,NL,103,Natural gas,,,,52.10157,5.07982
MVL380 Centrale Rotterdam 1,GDF SUEZ ENERGIE NEDERLAND NV,Missouriweg 69,3199LB,Maasvlakte Rotterdam,NL,731,Hard coal,Steam turbine,,,51.94496,4.06767
Magnum Centrale (10),VATTENFALL,Huibertgatweg 1,9979XZ,Eemshaven,NL,437,Natural gas,,,,53.45149,6.85268
Magnum Centrale (20),VATTENFALL,Huibertgatweg 1,9979XZ,Eemshaven,NL,437,Natural gas,,,,53.45149,6.85268
Magnum Centrale (30),VATTENFALL,Huibertgatweg 1,9979XZ,Eemshaven,NL,437,Natural gas,,,,53.45149,6.85268
Maxima Centrale (FL30),ELECTRABEL NEDERLAND NV,IJsselmeerdijk 101,2881RC,Lelystad,NL,0,Natural gas,,,,52.57753,5.52959
Maxima Centrale (FL4),ELECTRABEL NEDERLAND NV,IJsselmeerdijk 101,8221RC,Lelystad,NL,435,Natural gas,,,,52.57753,5.52959
Maxima Centrale (FL5),ELECTRABEL NEDERLAND NV,IJsselmeerdijk 101,8221RC,Lelystad,NL,437,Natural gas,,,,52.57753,5.52959
Moerdijk 1,RWE SUPPLY & TRADING NL B.V.,Middenweg 36,4782PM,Moerdijk,NL,348,Natural gas,,,,51.68506,4.58094
Moerdijk 2,RWE SUPPLY & TRADING NL B.V.,Middenweg 36,4782PM,Moerdijk,NL,426,Natural gas,,,,51.68506,4.58094
PU-1,NUON,Hertzstraat 2,1446TG,Purmerend,NL,67,Natural gas,,,,52.51608,4.99524
ROC1,EON BENELUX,Capelseweg 400,3068AX,Rotterdam,NL,24,Natural gas,,,,51.95369,4.5616
ROC2,EON BENELUX,Capelseweg 400,3068AX,Rotterdam,NL,24,Natural gas,,,,51.95369,4.5616
Rijnmond II,PVNED,Petroleumweg 44,3196KD,Rotterdam,NL,428,Natural gas,,,,51.89326,4.34721
Rijnmond1,UNIPER BENELUX N.V.,Petroleumweg/ Haven 3108 46,3196KD,Vondelingenplaat-R'dam,NL,800,Natural gas,,,,,
