name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,lat,lon
NALON ENERGIA - CENTRO SAMA,"INDUSTRIAL QUIMICA DEL NALON ENERGIA, S.A.",,,Langreo,ES,3.948,Other or unspecified energy sources,,,2012,,
RASACAL COGENERACION,"RASACAL COGENERACION, S.L.",,,Colmenar de Oreja,ES,4.19,Natural gas,,,,,
MARCIAL GONZALEZ,"MARCIAL GONZALEZ, S.A.",,,Alcoy/Alcoi,ES,2,Natural gas,,,,,
COGENERACION JUMSAL,JUMSAL S.A.,,,Jumilla,ES,1,Natural gas,,,2010,,
FINCA LA ESPERANZA - MULA,"CEFU, S.A.",,,Mula,ES,5,Natural gas,,,,,
PAPELERA ECKER,"PAPELERA ECKER, S.A.",,,Beniparrell,ES,4.842,Natural gas,,,2000,,
PLANTA TRATAMIENTO PURINES EN CASPE,"PROGREEN COSTA, S.L.",,,Caspe,ES,14.14,Natural gas,,,,,
PIRACES,COMUNIDAD GENERAL DE RIEGOS DEL ALTO ARAGON,,,Piraces,ES,1.311,Hydro,,,1999,,
MOLI DE PALS,"J.PARALS, SCP",,,Pals,ES,0.04,Hydro,,,,,
TUNO III,"APROVECHAMIENTOS HIDR.GALLEGOS,S.A.",,,Ramiras,ES,2.271,Hydro,,,,,
CONSTRUCCIONES SAN MARTIN,"CONSTRUCCIONES SAN MARTIN, S.A.",,,Arakil,ES,14.14,Natural gas,,,,,
HOSPITAL UNIVERSITARIO LA FE,CONSELLERIA DE SANITAT,,,Valencia,ES,6,Natural gas,,,1999,,
CERAMICAS SEGOVIA,CERAMICAS SEGOVIA,,,Fuentes de Ebro,ES,1.358,Natural gas,,,,,
MESOGEN,"MESOGEN, S.L.",,,Coruna (A),ES,1,Natural gas,,,2000,,
INDUSTRIAS DUERO,"INDUSTRIAS DUERO, S.A.",,,Madrid,ES,0.99,Natural gas,,,1998,,
SALT DEL MOLINOT,"SALT DEL MOLINOT, S.L.",,,Vilanova de Segria,ES,0.15,Hydro,,,,,
LA FUENTE DEL TIO HERRERO,"SOCIEDAD DE TRATAMIENTO HORNILLOS, S.L.",,,Hornillos de Eresma,ES,7.4,Natural gas,,,2005,,
MADERAS RANA,"MONTAJES INDUNOR, S.A.-MADERAS RANA, S.L",,,Ordes,ES,1.005,Oil,,,1999,,
MINTXATE,AYUNTAMIENTO DE ISABA,,,Isaba/Izaba,ES,0.4,Hydro,,,,,
LORCA-II,"CIDA HIDROQUIMICA, S.A.",,,Lorca,ES,15,Natural gas,,,,,
COGENERACION CAMPUS UNIVERSITARIO DE TOLEDO,"ALTIBERIA ENERGIA, S.L.",,,Toledo,ES,0.814,Natural gas,,,2001,,
"COGENERACION MARTIARTU, AIE","COGENERACION MARTIARTU, S.L.",,,Arrigorriaga,ES,3.33,Natural gas,,,2008,,
TARRIO,"NAVARRO GENERACION, S.A.",,,Chantada,ES,4.655,Hydro,,,,,
CERAMICA MANRESANA,CERAMIQUES ESTRUCTURALS  MANRESANES,,,Callus,ES,1.768,Oil,,,,,
SAN RAFAEL DE NAVALLANA,CONFEDERACION HIDROGRAFICA GUADALQUIVIR,,,Cordoba,ES,4.24,Hydro,,,,,
CIMENTS MARTIN (SANT JOAN DE LES ABADESSES),"CLAUDITREMPS, S.L.",,,Sant Joan de les Abadesses,ES,0.066,Hydro,,,,,
ANOIA,"CARGILL, SLU",,,Martorell,ES,13.805,Natural gas,,,1997,,
GRANCASA,"ERCASA COGENERACION, S.A.",,,Zaragoza,ES,2.937,Natural gas,,,,,
BANOS,"ACCIONA SALTOS DE AGUA, S.L.",,,Panticosa,ES,5.5,Hydro,,,,,
CAN BROQUETAS,"SIMAPRO, S.L.",,,Esparreguera,ES,0.26,Hydro,,,,,
RENFE - ESTACION PUERTA DE ATOCHA,RENFE,,,Madrid,ES,1.272,Natural gas,,,,,
CANTERAS DE JUN,"CANTERAS DE JUN, S.L.",,,Jun,ES,2,Natural gas,,,,,
HERRERIAS,"SALTOS DEL NANSA I, S.A.U.",,,Herrerias,ES,9,Hydro,,,,,
BUJALARO,"EL SALTO DE LA VILLA, S.A.",,,Bujalaro,ES,0.225,Hydro,,,,,
GADEA HERMANOS,"GADEA HERMANOS, S.L.",,,Benisano,ES,4.5,Oil,,,,,
"EQUIPAMIENTOS SANITARIOS DE VALENCIA, S.L.","EQUIP. SANITARIOS DE VALENCIA, SL.",,,Chiva,ES,1.35,Natural gas,,,,,
SAN VICENTE,"SALT DE CANET, S.A.",,,Urraul Bajo,ES,0.09,Hydro,,,,,
ARTABRA (AMPLIADA POTENCIA 28/3/03),"ARTABRA, S.A.",,,Arteixo,ES,13.18,Oil,,,,,
LA LLUM,SAT 729-CAT CENTRAL LA LLUM,,,Cardona,ES,0.424,Hydro,,,,,
TERSA,"TRACTAMENT I SELECCIO DE RESIDUS, SA",,,Sant Adria de Besos,ES,5.76,Non-renewable waste,,,2003,,
CERAMICA RIOBOO,"CERAMICA RIOBOO,S.L",,,Cambre,ES,0.675,Natural gas,,,,,
TERREAL,"TERREAL ESPANA DE CERAMICAS, SAU",,,Pera (La),ES,1,Other or unspecified energy sources,,,2012,,
PRESA FORCADA,"POLIGONO INDUSTRIAL CAN SEDO, S.A.",,,Navas,ES,0.261,Hydro,,,,,
EL MOLI,NURIA ORRIOLS NIUBO,,,Castellar de nHug,ES,0.02,Hydro,,,,,
CASCO DECOR,"COVERIGHT SURFACES SPAIN, S.A.",,,Martorelles,ES,1.145,Natural gas,,,,,
ROSSELLO,"SALVADOR SERRA, S.A.",,,Rossello,ES,0.136,Hydro,,,,,
EL MOLI,MA CARME VILA BUFIA,,,Mollo,ES,0.015,Hydro,,,1992,,
DICRE,"DICRE,S.A.",,,Sallent,ES,0.13,Hydro,,,,,
PRADILLO,"CHANGOA, S.A.",,,Pradillo,ES,0.26,Hydro,,,,,
CLARIANACAL,"OMYA CLARIANA, SLU",,,Arboc (L),ES,3.861,Natural gas,,,1994,,
FOXO,"ROSA SOUSA PEREZ E HIJOS, S.L.",,,Vimianzo,ES,0.745,Hydro,,,,,
BARRENA BERRI,"SALTOS DEL DEVA, S.R.L.",,,Elgoibar,ES,0.625,Hydro,,,,,
HARTMAN,"CELULOSAS MOLDEADAS HARTMANN, S.A.",,,Atxondo,ES,4.8,Other or unspecified energy sources,,,1994,,
GEQUISA,"COGENERACION GEQUISA,S.A.",,,Lantaron,ES,9.835,Natural gas,,,2011,,
SAN JOSE,CONFEDERACION HIDROGRAFICA DUERO,,,Castronuno,ES,4.8,Hydro,,,,,
SAN ANTONIO,"ELECTRA IBARGUEN, S.A.",,,Amorebieta-Etxano,ES,0.125,Hydro,,,,,
LA SEDA,"SEDA COGENERACION, S.A.",,,Palencia,ES,5.16,Natural gas,,,,,
BARRIOS DE LUNA,"REDONDO HERMANOS, S.L.",,,Barrios de Luna (Los),ES,0.5,Hydro,,,,,
TALAVE,CONFEDERACION HIDROGRAFICA SEGURA,,,Lietor,ES,5.26,Hydro,,,,,
PORTABELLA,"ESTABANELL Y PAHISA, S.A.",,,Roda de Ter,ES,0.29,Hydro,,,,,
LA CUESTA,"MINICENTRALES DE MESA, S.L.",,,Villel de Mesa,ES,0.225,Hydro,,,,,
CRISTALERIA ESPANOLA,"CRISTALERIA ESPANOLA, S.A.",,,Madrid,ES,3.2,Natural gas,,,,,
INICIATIVES PANTOMI,"INICIATIVES PANTOMI, SL",,,Manlleu,ES,0.06,Hydro,,,1988,,
C.H.MANUFACTURES,"FILATS MJS, S.A.",,,Sallent,ES,0.19,Hydro,,,,,
CELLOPHANE,CELLOPHANE ESPANOLA Y UCB PACKAGING,,,Burgos,ES,6.09,Natural gas,,,,,
OQUILLEGUI,"BERDABIO, S.A.",,,Oiartzun,ES,0.5,Hydro,,,,,
RIO FRANCIA,"CIENER, S.A.U.",,,Mogarraz,ES,0.55,Hydro,,,,,
AIZPURUTXO,"ELECTRA BERRIZAUN, SL",,,Azkoitia,ES,0.29,Hydro,,,,,
MOLINO DEL BARRIO PUENTE DE BERGUENDA,DNA. ARACELI LANDABURU GARCIA,,,Lantaron,ES,0.017,Hydro,,,,,
LA POLA DE GORDON,"HIDROELECTRICA GORDON,S.A.HIGORSA",,,Pola de Gordon (La),ES,0.395,Hydro,,,,,
VINALTA,GUSTAVO ALVARO GUERRERO,,,Palencia,ES,0.1,Hydro,,,,,
NIGUELAS,AYUNTAMIENTO DE NIGUELAS,,,Niguelas,ES,2.988,Hydro,,,,,
SALTO DEL PUENTE DE LA CERRADA,CONFEDERACION HIDROGRAFICA DEL GUADALQUIVIR,,,Ubeda,ES,7.52,Hydro,,,1996,,
MELIDA,"AGRO ELECTRICA TUDELANA, S.A.",,,Melida,ES,4,Hydro,,,,,
CIPSA,"CERAMICA INDUSTRIAL DEL PENEDES, S.A.",,,Olerdola,ES,1.2,Natural gas,,,,,
LA GAFA,"INTERNAICA, S.L.",,,Coma i la Pedra (La),ES,0.725,Hydro,,,,,
CAN TARRES,"EXPLOT. ENERGETICAS DEL LLOBREGAT, S.L.",,,Torello,ES,0.3,Hydro,,,2004,,
AREMUSA II,"AREMUSA AGUAS DE LA REG. DE MURCIA, S.A.",,,Puerto Lumbreras,ES,14.14,Natural gas,,,,,
AREMUSA V,"AREMUSA AGUAS DE LA REG. DE MURCIA, S.A.",,,Puerto Lumbreras,ES,14.14,Natural gas,,,,,
MUSA XI,"MUSA MURCIANA DE AGUAS, S.A",,,Fortuna,ES,14.14,Natural gas,,,,,
AREMUSA VII,"AREMUSA AGUAS DE LA REG. DE MURCIA, S.A.",,,Alhama de Murcia,ES,14.14,Natural gas,,,,,
ALITRASA VIII,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Lorca,ES,14.14,Natural gas,,,,,
ALITRASA VI,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Murcia,ES,14.14,Natural gas,,,,,
PLANTA DE TRATAMIENTO DE PURINES,SERVICIOS INTEGRALES AHORRO ENERGETICO,,,Manzaneque,ES,15,Natural gas,,,,,
LIMIA,"HIDRAULICA DEL LOUREIRO ENORSA, S.L",,,Bande,ES,5,Hydro,,,,,
SAN VICENTE LEIRA,"PRODES HIDROELECTRICOS, S.L.",,,Vilamartin de Valdeorras,ES,0.675,Hydro,,,2011,,
MONASTERIO,"IBERICA DE ENERGIAS, S.L.",,,Quintanilla de Arriba,ES,1.4,Hydro,,,,,
LA ESPERANZA-UEF,"ELMER EL MEDIO RURAL, ,S.L.",,,Villel de Mesa,ES,0.05,Hydro,,,,,
C.H. DEL UMIA,"ENERGIA DE GALICIA, S.A.  (ENGASA)",,,Pontevedra,ES,3.24,Hydro,,,2004,,
SARRIA III,"SALTOS DEL ARGA, S.L.",,,Puente la Reina/Gares,ES,2.9,Hydro,,,2009,,
C. H. MOLINO DE GUASO,"ALTERNATIVAS ARA, S.L.L.",,,Ainsa-Sobrarbe,ES,0.095,Hydro,,,2006,,
MOTOR BIOGAS DEPOSITO RSU SALAMANCA,ENTE REGION. ENERGIA CASTILLA-LEON (EREN,,,Villamayor,ES,0.48,Biomass and biogas,,,2006,,
C.H. AITONA.,"SALTOS Y CENTRALES DE CATALUNYA, S.A.",,,Aitona,ES,4.89,Hydro,,,2005,,
NYLSTAR,"NYLSTAR, SA",,,Blanes,ES,2.685,Natural gas,,,2005,,
ALABE CARTOTECNIA,SAICA PACK S.L.,,,Meco,ES,3,Natural gas,,,,,
BARBANTINO,"ENERGIA DE GALICIA, S.A.",,,Amoeiro,ES,2.7,Hydro,,,,,
A.I.E. FABRICANTES DE QUESOS,"A.I.E. FABRICANTES DE QUESOS, S.A.",,,Melide,ES,3.18,Oil,,,,,
ENERSER,"SERVICIOS ENERGETICOS RESIDENCIALES, S.L",,,Coruna (A),ES,0.906,Oil,,,,,
TRATAMIENTO DE PURINES TRES JUNCOS,"ECOENERGIA INTEGRAL, S.A.",,,Tresjuncos,ES,4.98,Oil,,,,,
LOS TORILES,"NAVARRO GENERACION, S.A.",,,Alcantud,ES,1.371,Hydro,,,,,
CERAMICA CUATRO PALOMAS,"CERAMICA CUATRO PALOMAS, S.A..",,,Torrejon de Ardoz,ES,0.96,Natural gas,,,,,
CENTRAL HIDRAULICA DOMENO,"IBERENOVA PROMOCIONES, S.A., SOCIEDAD UNIPERSONAL",,,Domeno,ES,20.4,Hydro,,,2001,,
INDULLEIDA,"INDULLEIDA, SA",,,Alguaire,ES,0,Natural gas,,,,,
FORESTAL DEL ATLANTICO,"FORESTAL DEL ATLANTICO, S.A.",,,Mugardos,ES,24.8,Oil,,,2012,,
SALT-1,"BENJAC, S.A.",,,Salt,ES,0.36,Hydro,,,,,
GENSABON,"GENSABON, S.A.",,,Arteixo,ES,12,Natural gas,,,1999,,
HOSPITAL COMARCAL NUESTRA SENORA DE LA ANTIGUA,"GIROA COGENERACION, A.I.E.",,,Zumarraga,ES,0.222,Natural gas,,,1996,,
CERAMICAS RIO ALHAMA,"CERAMICAS RIO ALHAMA, S.L.",,,Cervera del Rio Alhama,ES,2.22,Oil,,,,,
LA HIGUERILLA,"ENERGIA Y DESARROLLO, S.A.",,,Barco de Avila (El),ES,0.58,Hydro,,,2000,,
PAPELERA DE PERALES,"PAPELERA DE PERALES, S.A.",,,Perales de Tajuna,ES,4.19,Natural gas,,,,,
CELYTEX,"CELYTEX, S.A.",,,Jadraque,ES,2.449,Oil,,,,,
MOLI D OGERN,"ELECTRICA CARDONA, SCP",,,Bassella,ES,0.054,Hydro,,,1999,,
ACABADOS BANERES,"ACABADOS BANERES, S.A.",,,Banyeres de Mariola,ES,1.9,Natural gas,,,,,
"LORCA ENERCORR XXI, S.L.","LORCA  ENERCORR XXI, S.L.",,,Lorca,ES,14.95,Natural gas,,,,,
UNION FENOSA,"UNION FENOSA ENERGIAS ESPECIALES, S.A.",,,Porcuna,ES,16.5,Natural gas,,,,,
PLANTA DE COGENERACION INDUSTRIAS LOSAN,"CIA.ENERGETICA PARA EL TABLERO, S.A.",,,Curtis,ES,13.328,Natural gas,,,,,
ALGUAIRE - CENTRAL 1,"INICIATIVAS HIDROELECTRICAS ARAGON Y CATALUNA,SL",,,Alguaire,ES,0.655,Hydro,,,,,
RAIMAT,"INICIATIVAS HIDROELECTRICAS ARAGON Y CATALUNA,SL",,,Lleida,ES,0.8,Hydro,,,,,
RIO UCERO,"OTIN, CONSTRUCCIONES Y PROMOC, S.A.",,,Burgo de Osma-Ciudad de Osma,ES,0.068,Hydro,,,,,
RAIMAT - CENTRAL 6,"INICIATIVAS HIDROELECTRICAS ARAGON Y CATALUNA,SL",,,Lleida,ES,0.784,Hydro,,,,,
COGENERACION SAN CIPRIAN,"COOPERATIVAS ORENSANAS, S.C.L.",,,San Cibrao das Vinas,ES,3.44,Oil,,,2010,,
CEPEDA,RWE INNOGY AERSA. S.A.U.,,,Cepeda la Mora,ES,3.795,Hydro,,,1998,,
BOLSAS Y FORMATOS,"BOLSAS Y FORMATOS, S.A.",,,Valdemoro,ES,0.76,Oil,,,,,
LA SARRA,"ACCIONA SALTOS DE AGUA, S.L.",,,Sallent de Gallego,ES,24,Hydro,,,,,
ALCANADRE I,"ACCIONA ENERGIA,S.A.  (ANTESCEH NAVARRA)",,,Alcanadre,ES,1.259,Hydro,,,,,
ANDIA LACTEOS,"ANDIA LACTEOS DE CANTABRIA, S.L.",,,Pielagos,ES,4.46,Natural gas,,,1998,,
SALICA,"SALICA INDUSTRIA ALIMENTARIA, S.A.",,,Bermeo,ES,5.43,Oil,,,,,
VICARIAS,"HIDRO ENERGIA XANA, S.L.",,,Hellin,ES,1.498,Hydro,,,,,
"TAULELL-P. PORC. N4 (AMPL. 5048 KW 3/02/06, RD436","TAULELL, S.A.",,,Alcora (l),ES,9.948,Natural gas,,,,,
VALENCIA DE DON JUAN,"C.H.I.-214, S.L.",,,Valencia de Don Juan,ES,4.46,Natural gas,,,,,
COMPANIA EUROPEA GENERAL TEXTIL,"COMPANIA EUROPEA GENERAL TEXTIL, S.L.",,,Alcorcon,ES,0.96,Natural gas,,,,,
ATRENESTE,"ATRENESTE, S.L.",,,Monforte de Lemos,ES,1.52,Oil,,,1999,,
ONDUSPAN,"ONDUSPAN, S.A.",,,Nijar,ES,2.116,Oil,,,,,
INCOAZUL,"INCOAZUL, S.L.",,,Alcora (l),ES,0.96,Natural gas,,,1999,,
"ARGUI LORE, S.L. (GUASCOR ENDANEA)","ARGUI LORE, S.L.",,,Hondarribia,ES,0.475,Natural gas,,,1999,,
PRADENA,"SILICES GILARRANZ, S.A.",,,Pradena,ES,1.5,Natural gas,,,,,
PRODUCTORA GUADALFEO,"PRODUCTORA ELECTRICA DE GUADALFEO, S.L.",,,Berchules,ES,0.502,Hydro,,,1999,,
FORRAJES Y  PROTEINAS,"FORRAJES Y PROTEINAS, SL",,,Villalar de los Comuneros,ES,0.99,Natural gas,,,2006,,
CENTRAL DE GENERACION ELECTRICA DEL D.C. DE NAJERA,"HERA ENER-G, S.L.",,,Najera,ES,0.35,Biomass and biogas,,,2009,,
PLANTA COGENERACION TRATAM. PURINES,"BELVER-ENERCORR XXI, S.L.",,,Belver de Cinca,ES,14.95,Natural gas,,,,,
REHABILITACION C. H. PITARQUE,"ELECTRICAS REUNIDAS DE ZARAGOZA I, S.A.",,,Pitarque,ES,0.71,Hydro,,,,,
C.H. DE TORREONES DEL MUNDO,"SALTOS DEL MUNDO Y TUS, S.L.",,,Molinicos,ES,0.287,Hydro,,,,,
IBERPURIN,"IBERPURIN, S.L.",,,Cijuela,ES,14.14,Natural gas,,,,,
ACEITERA GUADALQUIVIR,"CIA ENERGETICA  LA RODA, S.A.",,,Roda de Andalucia (La),ES,8.202,Natural gas,,,,,
C.H. HARINAS Y DERIVADOS IBARRONDO,"HARINAS Y DERIVADOS IBARRONDO, S.A.",,,Campezo/Kanpezu,ES,0.1032,Hydro,,,,,
COGENERACION AZCUE Y CIA,"AZCUE Y CIA, S.A.",,,Azpeitia,ES,0.777,Natural gas,,,2001,,
INGAROIL,"INGAROIL, S.L.",,,Somozas (As),ES,15.68,Non-renewable waste,,,2001,,
HIDROELECTRICA DE BERBERIN,I.D.A.E,,,Calasparra,ES,2.334,Hydro,,,,,
HINOJAR II,"ENERGIAS ALTERNATIVAS MURCIANAS, S.A.",,,Lorca,ES,14.94,Natural gas,,,,,
ECOENERGIA INTEGRAL,"ECOENERGIA INTEGRAL, S.A.",,,Cartama,ES,1.68,Oil,,,,,
COGENERACION ALABE COLSA,"SAICA PACK, S.L.",,,Paterna,ES,3.34,Natural gas,,,1999,,
COGENERACION Y TRATAMIENTOS ECIJA,"COGENERACION Y TRATAMIENTOS ECIJA, S.A.",,,Ecija,ES,7.4,Natural gas,,,,,
GARENESA,"GALICIA RECICLADO DE NEUMATICOS, S.A.",,,Somozas (As),ES,1.2025,Other or unspecified energy sources,,,,,
CENTRAL DE CAN NALERT,"CUADRICOPTER, S.L.",,,Vallbona dAnoia,ES,0.15,Hydro,,,2006,,
CENTRAL DE OLABARRIA,JOSE MESA VALDES (ANT.ENERGIAS  EUSKADI),,,Iurreta,ES,0.032,Hydro,,,,,
MICHELIN ARANDA,"ENERGYWORKS ARANDA, S.L.",,,Aranda de Duero,ES,0.945,Other or unspecified energy sources,,,2012,41.664695,-3.710235
OLALDEA II,"ACCIONA ENERGIA, S.A.",,,Oroz-Betelu,ES,0.95,Hydro,,,,,
GOIZUETA,"ACCIONA ENERGIA, S.A.",,,Goizueta,ES,2.45,Hydro,,,,,
VIANA II,"ACCIONA ENERGIA, S.A.",,,Viana,ES,5,Hydro,,,,,
URTASUN,"SERVICIOS COMARCA DE PAMPLONA, S.A.",,,Esteribar,ES,0.2,Hydro,,,,,
HIJOS DE MARTINEZ,"ELECTRA IRACHE, S.L.",,,Estella/Lizarra,ES,0.2,Hydro,,,,,
BOINERSA,"BOIRO ENERGIA, S.A.",,,Boiro,ES,24.6,Oil,,,2011,,
TORRELAGUNA,"HIDRAULICA SANTILLANA, S.A.",,,Torrelaguna,ES,4.56,Hydro,,,,,
CASTILLONROY,"HIDRODATA, S.A.",,,Castillonroy,ES,1.545,Hydro,,,,,
PAPELERA DE LA ALQUERIA,"PAPELERA DE LA ALQUERIA, S.L.",,,Alqueria dAsnar (l),ES,4.48,Natural gas,,,,,
PUENTEDURA,"CENTRAL HIDROELECTRICA DE PUENTEDURA, SA",,,Puentedura,ES,0.399,Hydro,,,2006,,
PLANTA DDP CASTILEON,"DESIMPACTO PURINES CASTILEON, S.A.",,,Guardo,ES,14.685,Natural gas,,,,,
C.H. LOS MANUELES,"AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A.",,,Huercal-Overa,ES,2.955,Hydro,,,2006,,
AVICU MATADERO Y AMPLIACION,"AVICU, S.A.",,,Guadalajara,ES,0,Natural gas,,,,,
"HOCERSA HOMS CERAMICA, S.A.","HOCERSA HOMS CERAMICA, S.A.",,,Moncofa,ES,0.995,Natural gas,,,,,
CH ANLLO,"ENEL GREEN POWER ESPANA, S.L.",,,Cotobade,ES,7.918,Hydro,,,2006,,
LARBESA,"ALFALFAS DE JACA,S.L.",,,Jaca,ES,1.22,Natural gas,,,,,
LA SOTONERA,COMUNIDAD GENERAL DE RIEGOS DEL ALTO ARAGON,,,Alcala de Gurrea,ES,4,Hydro,,,,,
ALFAGES,"GER GENERACION, S.L.U.",,,Binaced,ES,1.08,Hydro,,,,,
NUREL 1,"NUREL, S.A.",,,Zaragoza,ES,9.34,Natural gas,,,,,
VENTANIELLA,VIRGILIO NAVARRO IGLESIAS,,,Ponga,ES,1.5,Hydro,,,,,
BOO DE GUARNIZO,"FERROATLANTICA, S.L.",,,Astillero (El),ES,6.02,Oil,,,,,
NOVO Y SIERRA 1 Y 2 FASE,"NOVO Y SIERRA, S.A.",,,Valga,ES,2.475,Natural gas,,,,,
FEIXA II,"HIDROFREIXA, S.L.U.",,,Ponte Caldelas,ES,5,Hydro,,,,,
AZULIBER,AZULIBER 1 S.L.,,,Alcora (l),ES,17.763,Natural gas,,,,,
COLONIA VIDAL,"IPSILON GREEN POWER, SA",,,Puig-reig,ES,0.666,Hydro,,,1985,,
CERAMICA PIEROLA,"CERAMICAS PIEROLA, S.L.",,,Hostalets de Pierola (Els),ES,4.425,Oil,,,,,
PONS,INVESTIGACION MAS DESARROLLO ENERGETICO.,,,Puig-reig,ES,1.26,Hydro,,,,,
COG. CERAMICA DA MOURA,"CERAMICA DA MOURA, SL",,,Tui,ES,0.987,Natural gas,,,2003,,
PLANTA DE COGENERACION,"RECUBR.METALICOS DEL SURESTE, S.A.",,,Santomera,ES,0.78,Natural gas,,,,,
"PAPELERA GUIPUZCOANA DE ZICUNAGA, S.A.","PAPELERA GUIPUZCOANA DE ZICUNAGA, S.A.",,,Hernani,ES,48.668,Natural gas,,,2008,43.257263,-1.967881
TRITURADOS PUERTO BLANCO,"TRITURADOS PUERTO BLANCO, S.L.",,,Beas de Granada,ES,0.8,Oil,,,,,
C.H. DE LA VEGA,"PRODUCCIONES HIDROELECTRICAS, S.A.",,,Granada,ES,2.4,Hydro,,,1990,,
C. H. TAMBRE-CABALAR,"GAS NATURAL FENOSA RENOVABLES, SLU",,,Vilasantar,ES,1.834,Hydro,,,2006,,
"COMERCIAL MIRASIERRA, SA","COMERCIAL MIRASIERRA, SA",,,Madrid,ES,0.983,Natural gas,,,2004,,
C. H. HOJAMARTA,"HOJAMARTA, S.A.",,,Reocin,ES,0.564,Hydro,,,2007,,
CENTRAL HIDRAULICA GUADALIMAR,E.ON RENOVABLES S.L.,,,Ibros,ES,20,Hydro,,,2006,,
C.H. MAZONOVO,"TAINDE, SL",,,Taramundi,ES,0.04,Hydro,,,2006,,
"SERVIKER 1, S.L.","SERVIKER 1, S.L.",,,Alcora (l),ES,14.2,Natural gas,,,2008,,
MINIHIDRAULICA 90 KW EL RINCON REHABI. DALTOS DE C,"SALTOS DE CALAMOCHA, SL",,,Calamocha,ES,0.09,Hydro,,,2007,,
LABORATORIS GRIFOLS,"GRIFOLS, S.A",,,Parets del Valles,ES,6.088,Natural gas,,,2008,,
HIDROELECTRICA DEL CAUXA,"HIDROELECTRICA RIO LENA, S.A.",,,Belmonte de Miranda,ES,2.733,Hydro,,,,,
MURIEDAS,"KLINKER COVADONGA, S.L.",,,Camargo,ES,0.99,Natural gas,,,2008,,
CH 3 MW VILLA DE LOS ANGELES,HIDROELECTRICA VILLA DE LOS ANGELES,,,Quinto,ES,3,Hydro,,,1997,,
C.H. SALTO DEL GOMIL,"TECNICOS ASOCIADOS GALLEGOS, S.L.",,,Aranga,ES,9,Hydro,,,2004,,
ACEITES DEL SUR-COOSUR S.A.,ENERSUR SIGLO 21 S.L.,,,Jabalquinto,ES,13.7,Other or unspecified energy sources,,,2009,,
CH BOADES,"HIDRODATA, SA",,,Castellgali,ES,0.45,Hydro,,,1992,,
CH LA POBLA DE SEGUR,"HIDRODATA, SA",,,Pobla de Segur (La),ES,6,Hydro,,,1988,,
CENTRAL HIROELECTRICA DE PARTIDOR,"VIESGO RENOVABLES, S.L",,,Totana,ES,0.588,Hydro,,,1963,,
AURTIZ,"CENTRAL ITUREN, S.A.",,,Ituren,ES,0.2,Hydro,,,2009,,
SALTO DEL OLVIDO,ORGANISMO AUTONOMO PARQUES NACIONALES,,,San Ildefonso,ES,1.25,Hydro,,,1993,,
LINGEGAS,"LINGEGAS, B.V.",,,Calera y Chozas,ES,3.12,Natural gas,,,1998,,
ESPUNY-MORON,"NEO SC MORON, S.L.U.",,,Moron de la Frontera,ES,8.151,Natural gas,Combustion engine,,2002,,
C.H. LA CHOMBA DEL PLAGANO,"RWE INNOGY AERSA, S.A.U.",,,Cangas del Narcea,ES,0.962,Other or unspecified energy sources,,,2000,,
COGENERACION NAVIA,"INDUSTRIAS LACTEAS ASTURIANAS, S.A.",,,Navia,ES,24,Oil,,,,,
PENA AGUILA,"AGUAS DE LAS CUENCAS DE ESPANA, S.A.",,,Villamanin,ES,1.578,Hydro,,,2009,,
FABRICA DE YESO EN GELSA,"SANT GOBAIN PLACO IBERICA, S.A",,,Gelsa,ES,9.71,Natural gas,,,,,
TORELLO,"ALMEDA ALAMANY Y CIA, SA",,,Sant Vicenc de Torello,ES,0.31,Hydro,,,,,
MATALLANA,"PROMOTORA ANDRES MARTINEZ, S.A.",,,Matallana de Torio,ES,2,Hydro,,,1999,,
OLLONIEGO,"HIDROASTUR, S.A.",,,Oviedo,ES,0.75,Hydro,,,1990,,
SAVA-MIRALCAMP,"AUDAX GREEN, SL",,,Miralcamp,ES,15,Natural gas,,,2009,,
CERAMICA TARBE,"TARBE, S.L.",,,Alfaro,ES,0.976,Oil,,,1999,,
FABRICA VELLA,"HIDROINMO GB, S.L",,,Suria,ES,0.2,Hydro,,,,,
INAMA,"INDUSTRIAS DE MADERAS AGLOMERADAS, S.A.",,,Mungia,ES,11.92,Oil,,,2010,,
OREMBER,"COGENERACION DEL NOROESTE, S.L.",,,San Cibrao das Vinas,ES,11.92,Oil,,,2010,,
AZUCARERA DEL GUADALCACIN,AZUCARERA EBRO  S.L.,,,Jerez de la Frontera,ES,16.875,Other or unspecified energy sources,,,,,
SALT 2,"BENJAC, S.A.",,,Salt,ES,0.272,Hydro,,,,,
REQUEIXO,"NAVARRO GENERACION, S.A.",,,Oimbra,ES,3.08,Hydro,,,,,
MIUDINA,"MIUDINA,S.L.",,,Tomino,ES,0.75,Hydro,,,,,
LA MINILLA,EMASESA,,,Garrobo (El),ES,2,Hydro,,,,,
SUROS Y MOLI,JOAQUIM ESCATLLAR S.L.,,,Besalu,ES,0.106,Hydro,,,,,
TORTOSA ENERGIA,"TORTOSA ENERGIA, SA",,,Tortosa,ES,4,Other or unspecified energy sources,,,2011,,
